
,weight0,weight0_grad,weight1,weight1_grad,weight2,weight2_grad,weight3,weight3_grad,weight4,weight4_grad,weight0,weight0_grad,weight1,weight1_grad,weight2,weight2_grad,weight3,weight3_grad,weight4,weight4_grad,weight0,weight0_grad,weight1,weight1_grad,weight2,weight2_grad,weight3,weight3_grad,weight4,weight4_grad,weight0,weight0_grad,weight1,weight1_grad,weight2,weight2_grad,weight3,weight3_grad,weight4,weight4_grad,weight0,weight0_grad,weight1,weight1_grad,weight2,weight2_grad,weight3,weight3_grad,weight4,weight4_grad,
1.314076,1.304416,0.143020,1.425489,-0.139509,-0.349710,0.039156,-0.622768,0.020064,-0.284284,0.000000,-1.214647,0.011518,-0.452456,0.009249,-2.178595,0.006288,1.410989,-0.046659,0.842125,0.000000,-0.978881,-0.185419,0.998633,0.039474,-0.113653,0.049581,0.789628,0.082377,1.190670,0.000000,-0.815516,0.017168,1.429874,0.060756,0.556511,-0.103090,1.297214,-0.063150,-0.672948,0.000000,-1.040218,0.013713,0.725208,0.030030,-1.929788,0.008065,-1.624388,0.007369,0.258845,0.000000,
1.303175,1.290114,0.142284,1.439440,-0.138729,-0.353625,0.038887,-0.624775,0.019980,-0.284284,0.000000,-1.215798,0.011611,-0.453381,0.009230,-2.179223,0.006266,1.415655,-0.046274,0.842125,0.000000,-0.960339,-0.185010,0.994686,0.039273,-0.118611,0.049190,0.781390,0.081525,1.190670,0.000000,-0.817233,0.017296,1.423799,0.060320,0.566820,-0.102377,1.303529,-0.062579,-0.672948,0.000000,-1.041589,0.013820,0.722205,0.029906,-1.930595,0.008034,-1.625125,0.007348,0.258845,0.000000,
1.292385,1.275886,0.141542,1.453313,-0.137948,-0.357514,0.038620,-0.626773,0.019897,-0.284284,0.000000,-1.216960,0.011702,-0.454304,0.009211,-2.179850,0.006243,1.420282,-0.045895,0.842125,0.000000,-0.941838,-0.184592,0.990758,0.039072,-0.123530,0.048801,0.773238,0.080688,1.190670,0.000000,-0.818962,0.017422,1.417767,0.059885,0.577058,-0.101668,1.309787,-0.062016,-0.672948,0.000000,-1.042971,0.013926,0.719215,0.029781,-1.931398,0.008004,-1.625859,0.007326,0.258845,0.000000,
1.281704,1.261731,0.140796,1.467108,-0.137167,-0.361376,0.038355,-0.628762,0.019814,-0.284284,0.000000,-1.218130,0.011792,-0.455225,0.009190,-2.180474,0.006220,1.424872,-0.045524,0.842125,0.000000,-0.923379,-0.184165,0.986851,0.038870,-0.128410,0.048417,0.765169,0.079865,1.190670,0.000000,-0.820705,0.017547,1.411778,0.059451,0.587224,-0.100964,1.315988,-0.061460,-0.672948,0.000000,-1.044364,0.014030,0.716236,0.029655,-1.932198,0.007973,-1.626592,0.007305,0.258845,0.000000,
1.271132,1.247652,0.140045,1.480824,-0.136384,-0.365211,0.038091,-0.630744,0.019732,-0.284284,0.000000,-1.219309,0.011882,-0.456144,0.009170,-2.181096,0.006197,1.429424,-0.045159,0.842125,0.000000,-0.904962,-0.183730,0.982964,0.038668,-0.133252,0.048035,0.757183,0.079056,1.190670,0.000000,-0.822459,0.017670,1.405833,0.059020,0.597321,-0.100266,1.322134,-0.060912,-0.672948,0.000000,-1.045767,0.014133,0.713271,0.029527,-1.932996,0.007942,-1.627323,0.007284,0.258845,0.000000,
1.260667,1.233647,0.139289,1.494463,-0.135601,-0.369020,0.037829,-0.632717,0.019649,-0.284284,0.000000,-1.220497,0.011970,-0.457061,0.009148,-2.181716,0.006174,1.433940,-0.044802,0.842125,0.000000,-0.886589,-0.183285,0.979097,0.038464,-0.138056,0.047657,0.749277,0.078260,1.190670,0.000000,-0.824226,0.017791,1.399931,0.058590,0.607347,-0.099572,1.328225,-0.060371,-0.672948,0.000000,-1.047180,0.014235,0.710318,0.029399,-1.933790,0.007911,-1.628051,0.007262,0.258845,0.000000,
1.250310,1.219718,0.138528,1.508023,-0.134818,-0.372803,0.037569,-0.634682,0.019567,-0.284284,0.000000,-1.221694,0.012057,-0.457976,0.009127,-2.182333,0.006151,1.438420,-0.044450,0.842125,0.000000,-0.868261,-0.182831,0.975251,0.038260,-0.142821,0.047283,0.741451,0.077478,1.190670,0.000000,-0.826005,0.017910,1.394072,0.058162,0.617305,-0.098883,1.334263,-0.059837,-0.672948,0.000000,-1.048604,0.014336,0.707378,0.029269,-1.934581,0.007880,-1.628777,0.007241,0.258845,0.000000,
1.240060,1.205866,0.137763,1.521505,-0.134035,-0.376560,0.037310,-0.636639,0.019486,-0.284284,0.000000,-1.222900,0.012143,-0.458889,0.009104,-2.182948,0.006128,1.442865,-0.044105,0.842125,0.000000,-0.849978,-0.182368,0.971425,0.038056,-0.147550,0.046912,0.733703,0.076709,1.190670,0.000000,-0.827796,0.018027,1.388256,0.057736,0.627193,-0.098200,1.340246,-0.059309,-0.672948,0.000000,-1.050037,0.014435,0.704452,0.029139,-1.935369,0.007850,-1.629501,0.007220,0.258845,0.000000,
1.229915,1.192089,0.136994,1.534908,-0.133251,-0.380291,0.037053,-0.638587,0.019404,-0.284284,0.000000,-1.224114,0.012228,-0.459799,0.009081,-2.183561,0.006105,1.447276,-0.043766,0.842125,0.000000,-0.831741,-0.181896,0.967619,0.037850,-0.152241,0.046544,0.726032,0.075953,1.190670,0.000000,-0.829599,0.018142,1.382482,0.057312,0.637013,-0.097521,1.346177,-0.058789,-0.672948,0.000000,-1.051481,0.014532,0.701538,0.029008,-1.936154,0.007818,-1.630223,0.007198,0.258845,0.000000,
1.219875,1.178390,0.136220,1.548233,-0.132468,-0.383997,0.036798,-0.640528,0.019323,-0.284284,0.000000,-1.225337,0.012312,-0.460707,0.009058,-2.184172,0.006082,1.451652,-0.043433,0.842125,0.000000,-0.813551,-0.181415,0.963834,0.037645,-0.156895,0.046180,0.718437,0.075209,1.190670,0.000000,-0.831413,0.018256,1.376751,0.056890,0.646765,-0.096847,1.352056,-0.058275,-0.672948,0.000000,-1.052934,0.014628,0.698637,0.028876,-1.936936,0.007787,-1.630943,0.007177,0.258845,0.000000,
1.209940,1.164768,0.135442,1.561480,-0.131686,-0.387676,0.036545,-0.642460,0.019242,-0.284284,0.000000,-1.226568,0.012394,-0.461613,0.009034,-2.184780,0.006058,1.455996,-0.043106,0.842125,0.000000,-0.795410,-0.180925,0.960070,0.037439,-0.161513,0.045819,0.710916,0.074477,1.190670,0.000000,-0.833239,0.018367,1.371062,0.056470,0.656450,-0.096179,1.357884,-0.057769,-0.672948,0.000000,-1.054397,0.014723,0.695749,0.028743,-1.937715,0.007756,-1.631661,0.007156,0.258845,0.000000,
1.200109,1.151224,0.134660,1.574649,-0.130903,-0.391331,0.036294,-0.644384,0.019162,-0.284284,0.000000,-1.227808,0.012475,-0.462517,0.009010,-2.185386,0.006035,1.460306,-0.042785,0.842125,0.000000,-0.777317,-0.180426,0.956326,0.037233,-0.166095,0.045462,0.703469,0.073757,1.190670,0.000000,-0.835075,0.018476,1.365415,0.056052,0.666067,-0.095516,1.363661,-0.057268,-0.672948,0.000000,-1.055869,0.014815,0.692875,0.028609,-1.938490,0.007725,-1.632376,0.007134,0.258845,0.000000,
1.190381,1.137758,0.133874,1.587739,-0.130122,-0.394960,0.036044,-0.646300,0.019082,-0.284284,0.000000,-1.229055,0.012555,-0.463418,0.008985,-2.185989,0.006012,1.464585,-0.042469,0.842125,0.000000,-0.759275,-0.179917,0.952603,0.037026,-0.170641,0.045108,0.696093,0.073049,1.190670,0.000000,-0.836923,0.018582,1.359810,0.055636,0.675619,-0.094857,1.369387,-0.056774,-0.672948,0.000000,-1.057351,0.014906,0.690014,0.028475,-1.939263,0.007694,-1.633090,0.007113,0.258845,0.000000,
1.180755,1.124370,0.133084,1.600751,-0.129341,-0.398565,0.035796,-0.648208,0.019002,-0.284284,0.000000,-1.230311,0.012633,-0.464316,0.008960,-2.186590,0.005988,1.468832,-0.042159,0.842125,0.000000,-0.741283,-0.179399,0.948900,0.036819,-0.175152,0.044757,0.688788,0.072352,1.190670,0.000000,-0.838781,0.018687,1.354246,0.055222,0.685105,-0.094204,1.375065,-0.056287,-0.672948,0.000000,-1.058841,0.014996,0.687167,0.028340,-1.940032,0.007663,-1.633801,0.007092,0.258845,0.000000,
1.171232,1.111062,0.132290,1.613685,-0.128561,-0.402144,0.035550,-0.650109,0.018923,-0.284284,0.000000,-1.231574,0.012710,-0.465212,0.008935,-2.187189,0.005965,1.473048,-0.041854,0.842125,0.000000,-0.723343,-0.178872,0.945218,0.036612,-0.179628,0.044410,0.681553,0.071666,1.190670,0.000000,-0.840650,0.018789,1.348724,0.054810,0.694525,-0.093556,1.380694,-0.055805,-0.672948,0.000000,-1.060341,0.015083,0.684333,0.028205,-1.940799,0.007632,-1.634510,0.007071,0.258845,0.000000,
1.161809,1.097833,0.131492,1.626541,-0.127783,-0.405699,0.035306,-0.652001,0.018844,-0.284284,0.000000,-1.232845,0.012785,-0.466106,0.008909,-2.187786,0.005942,1.477233,-0.041554,0.842125,0.000000,-0.705456,-0.178336,0.941557,0.036405,-0.184069,0.044066,0.674386,0.070992,1.190670,0.000000,-0.842529,0.018889,1.343243,0.054401,0.703881,-0.092914,1.386274,-0.055330,-0.672948,0.000000,-1.061849,0.015169,0.681512,0.028069,-1.941562,0.007600,-1.635217,0.007050,0.258845,0.000000,
1.152487,1.084684,0.130691,1.639320,-0.127005,-0.409230,0.035064,-0.653885,0.018765,-0.284284,0.000000,-1.234123,0.012859,-0.466997,0.008882,-2.188380,0.005918,1.481388,-0.041260,0.842125,0.000000,-0.687622,-0.177790,0.937917,0.036197,-0.188476,0.043725,0.667287,0.070328,1.190670,0.000000,-0.844418,0.018987,1.337803,0.053994,0.713172,-0.092276,1.391807,-0.054862,-0.672948,0.000000,-1.063366,0.015253,0.678705,0.027932,-1.942322,0.007569,-1.635922,0.007028,0.258845,0.000000,
1.143264,1.071615,0.129887,1.652020,-0.126229,-0.412736,0.034823,-0.655762,0.018687,-0.284284,0.000000,-1.235409,0.012931,-0.467885,0.008856,-2.188972,0.005895,1.485514,-0.040970,0.842125,0.000000,-0.669843,-0.177235,0.934297,0.035990,-0.192848,0.043388,0.660254,0.069674,1.190670,0.000000,-0.846316,0.019082,1.332404,0.053589,0.722400,-0.091644,1.397293,-0.054399,-0.672948,0.000000,-1.064891,0.015335,0.675912,0.027795,-1.943079,0.007538,-1.636625,0.007007,0.258845,0.000000,
1.134142,1.058626,0.129079,1.664643,-0.125455,-0.416219,0.034585,-0.657630,0.018609,-0.284284,0.000000,-1.236702,0.013002,-0.468770,0.008829,-2.189561,0.005871,1.489611,-0.040685,0.842125,0.000000,-0.652120,-0.176671,0.930698,0.035782,-0.197187,0.043054,0.653287,0.069031,1.190670,0.000000,-0.848225,0.019174,1.327045,0.053187,0.731564,-0.091016,1.402733,-0.053942,-0.672948,0.000000,-1.066425,0.015416,0.673133,0.027657,-1.943832,0.007507,-1.637326,0.006986,0.258845,0.000000,
1.125117,1.045718,0.128269,1.677189,-0.124682,-0.419677,0.034348,-0.659491,0.018531,-0.284284,0.000000,-1.238003,0.013071,-0.469653,0.008801,-2.190148,0.005848,1.493680,-0.040404,0.842125,0.000000,-0.634452,-0.176098,0.927120,0.035575,-0.201492,0.042723,0.646384,0.068398,1.190670,0.000000,-0.850142,0.019265,1.321726,0.052786,0.740666,-0.090394,1.408127,-0.053491,-0.672948,0.000000,-1.067966,0.015494,0.670367,0.027520,-1.944583,0.007476,-1.638025,0.006965,0.258845,0.000000,
1.116191,1.032891,0.127455,1.689657,-0.123911,-0.423112,0.034113,-0.661345,0.018454,-0.284284,0.000000,-1.239310,0.013139,-0.470533,0.008773,-2.190733,0.005824,1.497720,-0.040129,0.842125,0.000000,-0.616843,-0.175516,0.923562,0.035368,-0.205764,0.042395,0.639544,0.067775,1.190670,0.000000,-0.852069,0.019352,1.316448,0.052389,0.749705,-0.089777,1.413476,-0.053045,-0.672948,0.000000,-1.069516,0.015570,0.667615,0.027381,-1.945331,0.007444,-1.638721,0.006944,0.258845,0.000000,
1.107362,1.020145,0.126638,1.702048,-0.123142,-0.426523,0.033880,-0.663190,0.018378,-0.284284,0.000000,-1.240624,0.013205,-0.471411,0.008745,-2.191315,0.005801,1.501733,-0.039857,0.842125,0.000000,-0.599291,-0.174924,0.920025,0.035161,-0.210004,0.042071,0.632766,0.067161,1.190670,0.000000,-0.854004,0.019437,1.311209,0.051993,0.758683,-0.089165,1.418781,-0.052605,-0.672948,0.000000,-1.071073,0.015644,0.664877,0.027243,-1.946075,0.007413,-1.639416,0.006923,0.258845,0.000000,
1.098629,1.007482,0.125819,1.714362,-0.122375,-0.429911,0.033649,-0.665028,0.018302,-0.284284,0.000000,-1.241944,0.013269,-0.472285,0.008717,-2.191895,0.005778,1.505719,-0.039590,0.842125,0.000000,-0.581799,-0.174324,0.916509,0.034954,-0.214211,0.041750,0.626050,0.066557,1.190670,0.000000,-0.855947,0.019520,1.306010,0.051601,0.767600,-0.088559,1.424042,-0.052171,-0.672948,0.000000,-1.072637,0.015717,0.662153,0.027104,-1.946816,0.007382,-1.640108,0.006903,0.258845,0.000000,
1.089993,0.994900,0.124997,1.726600,-0.121610,-0.433276,0.033420,-0.666858,0.018226,-0.284284,0.000000,-1.243271,0.013331,-0.473157,0.008688,-2.192473,0.005754,1.509678,-0.039327,0.842125,0.000000,-0.564366,-0.173714,0.913014,0.034747,-0.218386,0.041431,0.619394,0.065962,1.190670,0.000000,-0.857899,0.019599,1.300849,0.051210,0.776455,-0.087957,1.429259,-0.051743,-0.672948,0.000000,-1.074209,0.015787,0.659442,0.026965,-1.947555,0.007351,-1.640798,0.006882,0.258845,0.000000,
1.081453,0.982400,0.124173,1.738761,-0.120848,-0.436618,0.033192,-0.668680,0.018150,-0.284284,0.000000,-1.244604,0.013392,-0.474026,0.008659,-2.193049,0.005731,1.513611,-0.039069,0.842125,0.000000,-0.546995,-0.173096,0.909539,0.034541,-0.222529,0.041117,0.612798,0.065377,1.190670,0.000000,-0.859859,0.019676,1.295728,0.050822,0.785251,-0.087360,1.434433,-0.051319,-0.672948,0.000000,-1.075788,0.015855,0.656746,0.026826,-1.948290,0.007320,-1.641486,0.006861,0.258845,0.000000,
1.073007,0.969983,0.123346,1.750846,-0.120088,-0.439937,0.032967,-0.670496,0.018075,-0.284284,0.000000,-1.245943,0.013451,-0.474892,0.008630,-2.193622,0.005708,1.517518,-0.038814,0.842125,0.000000,-0.529685,-0.172469,0.906085,0.034335,-0.226641,0.040805,0.606260,0.064800,1.190670,0.000000,-0.861827,0.019751,1.290646,0.050437,0.793987,-0.086769,1.439565,-0.050902,-0.672948,0.000000,-1.077373,0.015921,0.654063,0.026686,-1.949022,0.007289,-1.642173,0.006841,0.258845,0.000000,
1.064655,0.957648,0.122517,1.762854,-0.119330,-0.443234,0.032743,-0.672303,0.018001,-0.284284,0.000000,-1.247288,0.013508,-0.475754,0.008600,-2.194193,0.005684,1.521399,-0.038563,0.842125,0.000000,-0.512438,-0.171833,0.902651,0.034129,-0.230721,0.040496,0.599780,0.064232,1.190670,0.000000,-0.863802,0.019822,1.285602,0.050054,0.802664,-0.086183,1.444655,-0.050489,-0.672948,0.000000,-1.078965,0.015985,0.651394,0.026547,-1.949751,0.007259,-1.642857,0.006820,0.258845,0.000000,
1.056397,0.945396,0.121686,1.774787,-0.118575,-0.446508,0.032521,-0.674103,0.017927,-0.284284,0.000000,-1.248639,0.013564,-0.476614,0.008570,-2.194761,0.005661,1.525255,-0.038316,0.842125,0.000000,-0.495255,-0.171188,0.899238,0.033924,-0.234771,0.040191,0.593357,0.063672,1.190670,0.000000,-0.865784,0.019891,1.280597,0.049674,0.811282,-0.085601,1.449704,-0.050082,-0.672948,0.000000,-1.080564,0.016046,0.648740,0.026407,-1.950477,0.007228,-1.643539,0.006799,0.258845,0.000000,
1.048232,0.933228,0.120854,1.786645,-0.117823,-0.449761,0.032301,-0.675896,0.017853,-0.284284,0.000000,-1.249996,0.013618,-0.477471,0.008540,-2.195327,0.005638,1.529087,-0.038073,0.842125,0.000000,-0.478136,-0.170535,0.895846,0.033719,-0.238790,0.039888,0.586990,0.063121,1.190670,0.000000,-0.867773,0.019957,1.275630,0.049297,0.819842,-0.085025,1.454712,-0.049679,-0.672948,0.000000,-1.082168,0.016106,0.646099,0.026267,-1.951200,0.007197,-1.644219,0.006779,0.258845,0.000000,
1.040159,0.921142,0.120020,1.798427,-0.117074,-0.452991,0.032083,-0.677681,0.017780,-0.284284,0.000000,-1.251357,0.013669,-0.478325,0.008510,-2.195891,0.005615,1.532894,-0.037834,0.842125,0.000000,-0.461083,-0.169873,0.892474,0.033515,-0.242779,0.039589,0.580678,0.062578,1.190670,0.000000,-0.869769,0.020020,1.270700,0.048922,0.828345,-0.084454,1.459680,-0.049282,-0.672948,0.000000,-1.083779,0.016163,0.643472,0.026128,-1.951919,0.007166,-1.644897,0.006759,0.258845,0.000000,
